LATITUDE       	LONGITUDE
-25.625        	-63.875
-27.625        	-63.875
-27.875        	-65.125
-26.875        	-64.625
-27.875        	-61.875
-27.375        	-61.875
-29.125        	-64.375
-26.375        	-64.375
-27.375        	-64.875
-27.875        	-64.125
-28.125        	-63.875
-27.875        	-63.625
-28.125        	-64.125
-26.125        	-64.875
-26.875        	-65.125
-27.375        	-65.875
-26.875        	-64.875
-27.125        	-65.375
-27.625        	-65.375
-27.625        	-65.625
-26.875        	-65.375
-27.375        	-65.625
-27.375        	-65.375
-26.875        	-65.625
-26.625        	-65.625
-26.375        	-65.375
40.375         	44.375
39.875         	44.625
40.125         	44.125
40.125         	44.625
40.125         	45.125
40.375         	44.625
41.125         	44.375
41.125         	43.875
39.125         	46.125
40.875         	44.875
39.625         	45.625
27.875         	97.375
29.125         	95.625
28.625         	94.875
28.125         	93.125
28.125         	96.375
28.375         	96.125
27.875         	91.875
29.125         	94.125
28.625         	93.875
27.875         	92.875
28.875         	94.125
-35.375        	149.375
-35.875        	146.875
-30.625        	151.625
-33.875        	142.875
-33.375        	149.625
-36.625        	149.875
-35.875        	145.375
-33.875        	150.875
-33.625        	146.625
-33.625        	149.125
-33.625        	150.125
-31.125        	146.375
-36.875        	149.125
-34.125        	148.875
-29.375        	144.875
-30.875        	146.625
-33.375        	148.625
-33.875        	150.625
-34.125        	150.875
-32.625        	145.375
-32.375        	144.375
-32.875        	151.375
-29.125        	152.625
-30.625        	146.125
-35.125        	144.375
-34.375        	147.125
-36.125        	149.375
-30.625        	148.875
-34.625        	147.875
-35.875        	146.125
-33.625        	148.625
-35.625        	145.125
-32.125        	148.875
-32.625        	151.625
-35.875        	150.125
-33.375        	147.875
-31.875        	148.625
-29.375        	151.875
-34.875        	149.625
-32.625        	152.125
-35.625        	146.625
-34.625        	146.125
-34.875        	148.125
-31.375        	149.875
-29.875        	151.125
-29.125        	150.375
-34.625        	148.125
-33.625        	150.625
-33.875        	144.875
-28.875        	150.875
-35.375        	146.125
-34.625        	147.625
-31.125        	152.875
-28.875        	152.625
-33.375        	146.125
-34.375        	146.375
-31.125        	150.625
-35.125        	146.625
-32.125        	149.625
-29.125        	149.875
-35.875        	144.625
-34.375        	145.375
-32.125        	151.125
-30.125        	149.875
-34.125        	146.625
-32.625        	148.125
-33.625        	149.875
-33.375        	149.125
-35.125        	149.375
-33.125        	148.125
-32.875        	151.625
-29.125        	153.125
-34.625        	150.625
-34.875        	150.625
-32.625        	151.125
-36.625        	148.625
-30.625        	150.875
-34.125        	147.625
-28.375        	152.125
-35.875        	147.875
-35.375        	148.125
-33.125        	142.375
-31.875        	150.375
-34.125        	149.625
-34.875        	147.125
-34.875        	143.875
-31.125        	151.375
-29.375        	148.625
-31.375        	148.125
-33.875        	147.625
-32.625        	148.625
-33.125        	141.875
-34.375        	150.375
-34.125        	150.625
-34.375        	150.875
-34.625        	148.875
-34.125        	147.875
-13.875        	141.625
-27.875        	149.375
-25.375        	149.375
-23.125        	146.125
-24.875        	147.125
-27.375        	152.875
-25.125        	151.875
-20.125        	147.125
-24.375        	149.125
-21.375        	146.625
-26.375        	151.875
-15.375        	144.125
-18.875        	142.875
-18.625        	144.625
-25.625        	152.125
-24.375        	151.125
-27.875        	153.125
-27.875        	150.625
-25.875        	151.875
-18.625        	146.125
-27.625        	152.875
-22.625        	147.375
-13.125        	143.125
-27.625        	151.875
-24.875        	144.625
-20.875        	148.125
-26.875        	149.625
-26.125        	147.125
-12.625        	142.625
-25.375        	150.375
-27.125        	146.375
-14.125        	141.625
-25.375        	144.875
-22.875        	149.875
-28.125        	153.125
-27.375        	152.625
-26.125        	151.125
-28.875        	151.625
-16.875        	144.875
-27.625        	151.125
-19.625        	146.625
-26.125        	150.375
-21.375        	147.375
-24.125        	149.375
-34.875        	138.875
-35.125        	138.875
-34.625        	138.875
-33.875        	137.875
-34.125        	140.375
-32.125        	133.375
-33.625        	138.625
-33.625        	135.875
-34.125        	137.625
-33.875        	135.375
-31.875        	138.375
-33.625        	136.625
-34.625        	138.625
-33.375        	138.875
-37.875        	140.625
-35.625        	137.375
-34.625        	140.375
-33.125        	135.875
-36.625        	140.375
-34.125        	135.625
-34.125        	140.125
-34.375        	139.125
-35.125        	138.625
-37.875        	140.875
-33.125        	138.375
-35.125        	139.125
-36.625        	140.875
-33.125        	138.625
-32.875        	138.625
-32.875        	138.875
-32.625        	137.875
-33.625        	138.125
-34.125        	140.875
-37.125        	140.125
-35.125        	140.875
-32.625        	134.375
-36.375        	140.875
-34.875        	138.625
-35.125        	139.625
-34.125        	135.875
-35.375        	138.625
-33.875        	138.125
-37.375        	140.375
-33.375        	135.625
-34.875        	137.625
-41.625        	147.875
-42.625        	147.375
-41.125        	145.875
-41.375        	146.125
-41.875        	146.625
-40.875        	145.125
-42.875        	147.375
-42.625        	146.875
-41.375        	146.375
-41.125        	147.375
-40.125        	148.125
-41.125        	147.125
-42.375        	147.875
-42.875        	147.125
-39.875        	143.875
-43.125        	147.125
-41.375        	146.875
-41.625        	147.125
-42.875        	147.875
-42.375        	147.375
-41.125        	145.625
-42.125        	145.625
-36.625        	146.625
-37.125        	143.125
-37.375        	143.875
-38.625        	145.625
-38.375        	146.125
-36.375        	145.875
-37.625        	144.875
-35.875        	142.625
-36.125        	144.375
-38.125        	145.375
-36.875        	143.625
-38.125        	143.875
-37.875        	143.375
-36.875        	148.375
-38.125        	145.125
-35.875        	143.375
-37.375        	141.375
-36.375        	144.625
-37.875        	144.375
-36.625        	145.375
-36.125        	142.125
-36.375        	142.375
-36.125        	146.375
-37.875        	145.375
-38.125        	146.375
-36.375        	143.375
-37.125        	144.625
-37.125        	146.125
-37.875        	144.625
-34.375        	141.125
-37.125        	144.875
-36.375        	145.625
-36.875        	143.875
-37.875        	142.875
-37.125        	145.375
-37.625        	145.125
-36.625        	142.875
-36.875        	143.375
-38.625        	146.125
-37.125        	141.625
-36.625        	144.875
-34.875        	143.125
-36.125        	147.875
-38.375        	145.125
-36.625        	146.375
-38.375        	142.625
-38.125        	146.625
-36.375        	141.375
-37.375        	145.125
-36.125        	146.875
-37.875        	145.625
-34.375        	118.625
-34.125        	115.125
-32.125        	117.125
-32.875        	116.625
-33.875        	116.625
-34.125        	116.125
-32.375        	117.375
-19.625        	121.125
-33.875        	117.625
-31.875        	118.375
-33.625        	115.375
-33.625        	115.625
-29.625        	115.875
-28.375        	114.875
-31.125        	116.125
-33.375        	116.375
-30.625        	120.125
-29.875        	116.125
-32.125        	117.875
-34.125        	117.375
-32.625        	117.125
-31.375        	117.375
-29.875        	116.375
-30.125        	115.625
-33.375        	115.875
-34.875        	117.125
-16.375        	124.875
-33.625        	115.875
-30.875        	117.125
-33.125        	117.625
-31.875        	122.125
-19.875        	121.125
-33.375        	121.625
-28.875        	114.875
-31.375        	115.875
-33.875        	117.875
-31.125        	116.875
-17.125        	128.125
-32.875        	115.875
-29.125        	115.125
-33.875        	118.625
-31.125        	122.625
-33.625        	117.875
-31.375        	117.625
-33.375        	117.875
-33.875        	117.375
-32.625        	118.625
-30.625        	117.375
-32.625        	117.875
-32.125        	115.875
-32.875        	118.375
-34.375        	116.125
-29.875        	119.375
-31.625        	118.375
-29.125        	115.375
-30.375        	116.125
-29.125        	115.625
-30.875        	117.875
-31.125        	118.375
-28.625        	115.375
-31.875        	116.375
-34.125        	115.625
-32.875        	117.625
-32.875        	117.125
-31.625        	116.875
-28.125        	114.875
-31.125        	118.125
-29.375        	116.125
-34.625        	118.125
-20.125        	119.125
-31.875        	117.375
-33.625        	119.875
-32.375        	115.875
-26.875        	113.875
-31.625        	116.125
-29.375        	115.875
-31.375        	116.625
-31.125        	117.625
-30.875        	116.375
-32.625        	116.875
-31.625        	115.875
-33.125        	116.875
-31.375        	118.625
-32.875        	116.875
-30.625        	116.625
-33.375        	117.625
-14.125        	126.875
-29.875        	117.125
-30.375        	119.875
-31.875        	117.125
46.625         	15.875
46.875         	12.375
32.875         	73.875
35.625         	73.625
40.125         	49.125
40.375         	49.625
40.625         	49.375
39.875         	47.375
40.625         	47.375
39.875         	47.875
39.625         	48.125
40.625         	47.875
40.375         	48.875
39.625         	48.375
40.375         	48.125
39.125         	48.875
39.625         	48.625
39.625         	48.875
40.875         	47.125
40.625         	48.375
40.625         	48.625
41.125         	45.375
40.625         	46.125
40.625         	45.375
40.625         	46.375
40.375         	46.625
40.375         	46.875
41.125         	45.125
41.125         	46.375
40.875         	45.875
41.125         	45.625
40.125         	46.375
39.875         	46.375
39.625         	46.375
39.375         	46.625
39.125         	46.875
38.375         	48.875
39.375         	48.125
38.875         	48.625
38.625         	48.625
38.875         	48.375
39.125         	45.375
39.125         	45.625
39.375         	45.875
39.375         	45.625
39.625         	44.875
41.125         	48.875
41.125         	48.375
41.375         	48.375
41.125         	49.125
41.625         	48.625
41.625         	46.375
41.125         	47.375
41.125         	46.875
40.875         	47.625
41.125         	47.125
41.375         	46.625
39.875         	47.125
39.125         	47.125
39.625         	47.375
39.625         	46.625
40.125         	46.875
40.125         	47.125
39.875         	46.625
39.625         	47.125
22.125         	90.375
22.625         	90.375
22.375         	90.625
22.625         	90.125
22.375         	90.375
21.375         	92.625
23.875         	90.875
23.375         	90.875
22.125         	91.875
23.125         	91.125
21.875         	92.125
22.875         	91.375
23.625         	92.125
23.125         	90.875
22.625         	91.125
21.875         	92.625
23.625         	90.125
23.375         	89.625
24.125         	90.125
22.875         	89.875
24.375         	90.625
23.375         	90.125
23.875         	89.875
23.625         	90.375
23.875         	90.625
24.125         	90.625
23.875         	89.375
23.375         	90.375
24.625         	89.875
22.375         	89.875
23.625         	88.875
22.875         	88.875
23.625         	89.125
22.375         	89.375
23.625         	89.375
23.875         	88.875
22.375         	89.125
25.375         	89.875
25.125         	90.375
24.875         	90.875
25.125         	90.125
24.625         	89.125
25.125         	89.125
24.625         	88.875
24.375         	88.875
24.625         	88.125
24.125         	89.375
24.375         	88.375
24.375         	89.375
25.625         	88.875
25.625         	89.625
25.875         	89.625
26.125         	89.375
25.875         	88.875
26.375         	88.375
25.625         	89.125
25.875         	88.375
24.375         	91.375
24.375         	91.625
24.875         	91.125
24.875         	92.375
15.375         	-61.375
53.375         	25.875
52.375         	24.875
52.375         	23.625
52.125         	25.375
52.875         	26.375
52.875         	25.125
52.375         	23.375
52.375         	24.125
52.125         	26.875
53.125         	26.375
51.875         	24.375
52.125         	26.125
52.625         	24.375
52.125         	27.375
52.625         	29.125
51.625         	30.375
52.875         	30.625
52.875         	30.875
52.125         	31.375
52.375         	29.875
53.125         	30.625
51.875         	29.625
52.125         	30.375
51.875         	28.375
52.125         	29.125
51.625         	29.625
52.375         	28.625
53.375         	30.625
52.375         	29.625
52.875         	31.625
51.875         	28.875
52.875         	29.875
