LATITUDE       	LONGITUDE
46.108         	-111.558
45.275         	-109.392
45.025         	-104.058
46.525         	-105.725
48.692         	-105.142
47.442         	-105.308
46.608         	-104.725
47.608         	-108.725
45.858         	-111.308
46.025         	-111.725
45.692         	-111.642
47.108         	-105.892
46.275         	-108.058
48.692         	-107.225
47.108         	-105.975
47.525         	-104.558
48.275         	-105.725
46.525         	-107.725
48.942         	-104.725
45.608         	-108.892
45.442         	-109.975
46.358         	-107.558
48.442         	-105.975
47.358         	-104.142
45.692         	-108.725
41.608         	-103.808
42.108         	-102.975
41.025         	-99.225
41.942         	-96.225
40.525         	-102.058
42.942         	-101.642
41.275         	-103.225
41.192         	-99.308
42.442         	-103.475
41.025         	-99.475
41.025         	-102.142
41.275         	-95.892
40.108         	-101.725
41.358         	-102.225
41.858         	-102.058
40.608         	-101.308
42.275         	-98.808
41.025         	-102.058
41.275         	-103.725
40.775         	-100.975
41.942         	-102.892
40.775         	-101.808
41.775         	-103.642
42.525         	-102.642
42.025         	-103.808
42.108         	-96.308
41.442         	-99.225
41.442         	-95.975
41.775         	-114.058
44.775         	-71.058
39.608         	-74.808
39.942         	-74.808
39.692         	-74.892
39.192         	-74.808
39.442         	-75.308
39.692         	-75.308
40.442         	-74.892
40.192         	-74.642
40.275         	-74.475
40.275         	-74.225
40.775         	-74.892
40.108         	-74.308
39.525         	-75.308
40.525         	-74.725
41.108         	-74.725
40.692         	-75.058
35.192         	-106.808
33.442         	-108.475
33.942         	-103.892
35.025         	-107.142
36.275         	-104.892
34.358         	-103.558
34.525         	-103.975
31.775         	-106.975
32.025         	-104.725
33.025         	-108.725
35.025         	-105.225
35.525         	-103.558
31.358         	-108.808
32.525         	-103.142
33.775         	-105.308
35.775         	-106.225
31.358         	-108.225
35.358         	-107.392
36.108         	-104.808
32.025         	-105.642
35.025         	-103.142
36.858         	-106.725
34.192         	-103.808
36.858         	-108.642
35.775         	-105.142
36.025         	-107.058
35.108         	-105.808
32.692         	-107.475
34.442         	-106.642
36.858         	-105.808
34.942         	-105.975
36.942         	-103.558
34.858         	-106.558
42.442         	-78.808
42.858         	-76.642
42.275         	-76.808
42.692         	-75.892
43.025         	-78.558
43.108         	-77.975
44.442         	-75.808
42.942         	-77.808
42.942         	-75.808
42.942         	-77.725
42.942         	-74.725
40.775         	-73.475
43.192         	-78.558
42.942         	-76.475
42.775         	-77.142
41.358         	-74.475
43.192         	-78.308
43.275         	-76.558
44.525         	-75.725
42.858         	-74.142
42.525         	-76.725
42.858         	-76.892
42.525         	-77.558
40.942         	-72.725
42.608         	-76.558
43.192         	-77.392
42.775         	-77.975
42.692         	-77.142
46.108         	-102.892
46.775         	-97.725
48.192         	-99.225
48.608         	-101.392
47.275         	-100.725
46.692         	-96.975
48.692         	-98.975
45.942         	-98.308
48.775         	-103.475
47.692         	-99.308
46.608         	-100.142
47.442         	-98.975
46.858         	-103.975
47.692         	-97.142
46.525         	-102.058
47.608         	-98.058
47.275         	-99.642
46.442         	-98.308
46.608         	-99.058
48.608         	-101.058
47.775         	-103.808
47.775         	-101.308
47.442         	-101.558
46.275         	-101.058
48.525         	-102.058
48.025         	-98.392
47.192         	-101.058
48.608         	-97.892
48.442         	-99.642
48.025         	-98.475
46.525         	-97.642
48.608         	-101.475
46.608         	-96.808
46.108         	-97.392
47.692         	-100.142
46.025         	-101.975
46.608         	-103.808
47.358         	-97.558
46.692         	-98.475
48.442         	-99.058
47.275         	-97.142
48.442         	-98.058
48.358         	-101.308
47.525         	-99.308
48.608         	-103.892
38.942         	-83.642
40.858         	-84.058
41.025         	-82.225
41.608         	-80.725
39.275         	-82.142
40.442         	-84.392
39.858         	-81.058
39.192         	-83.892
39.525         	-84.558
40.608         	-81.142
40.192         	-83.558
39.858         	-83.642
39.192         	-84.058
39.275         	-83.892
40.858         	-81.058
40.275         	-81.725
40.858         	-82.975
41.358         	-81.975
40.275         	-84.475
41.192         	-84.308
40.358         	-83.225
41.275         	-82.808
39.608         	-82.808
39.442         	-83.558
39.942         	-83.225
41.608         	-84.225
38.858         	-82.308
41.358         	-81.142
39.608         	-83.725
40.108         	-81.392
39.275         	-84.808
41.108         	-83.892
40.525         	-83.475
40.275         	-81.058
41.192         	-84.142
39.275         	-83.558
39.525         	-82.725
40.608         	-81.808
41.192         	-82.808
39.025         	-82.642
40.275         	-80.892
40.275         	-82.392
41.442         	-83.058
41.775         	-81.058
38.525         	-82.475
39.942         	-82.558
40.442         	-83.558
41.275         	-82.308
41.608         	-83.308
40.025         	-83.475
40.942         	-80.975
40.525         	-83.392
41.025         	-82.142
38.942         	-81.892
40.692         	-84.808
40.108         	-84.142
39.775         	-81.142
39.858         	-84.475
39.608         	-81.892
40.692         	-82.808
39.775         	-81.725
39.858         	-81.558
41.525         	-83.308
41.025         	-84.725
39.858         	-82.475
39.525         	-82.808
39.108         	-82.975
41.025         	-81.225
39.692         	-84.808
40.942         	-84.225
40.942         	-82.725
39.442         	-82.975
41.442         	-83.392
38.692         	-82.892
41.025         	-82.975
40.358         	-84.225
40.858         	-81.308
40.942         	-81.642
41.442         	-80.725
40.525         	-81.642
40.358         	-83.392
40.775         	-84.808
39.275         	-82.475
39.442         	-84.058
39.358         	-81.392
40.692         	-81.808
41.608         	-84.475
41.192         	-83.892
40.775         	-83.142
44.358         	-121.475
45.775         	-120.058
42.192         	-118.225
44.775         	-121.475
44.192         	-123.225
43.942         	-117.058
45.692         	-120.725
45.942         	-118.308
